total_absences,module_id,prof_id,promo,apogee,mark,year
26.0,24,12,2019,66141774,12.0,2017/2018
0.0,13,11,2019,66141774,12.0,2016/2017
18.0,28,5,2019,66141774,11.4,2017/2018
16.0,31,9,2019,66141774,10.37,2018/2019
16.0,23,9,2019,66141774,10.78,2017/2018
16.0,26,7,2019,66141774,10.18,2017/2018
23.0,21,25,2019,66141774,12.87,2017/2018
8.0,37,17,2019,66141774,8.96,2018/2019
0.0,3,21,2019,66141774,11.33,2016/2017
0.0,22,26,2019,66141774,13.08,2017/2018
0.0,38,27,2019,66141774,14.01,2018/2019
8.0,18,4,2019,66141774,11.13,2017/2018
24.0,4,22,2019,66141774,9.08,2016/2017
25.0,10,6,2019,66141774,10.42,2016/2017
0.0,33,11,2019,66141774,14.98,2018/2019
15.0,16,13,2019,66141774,13.79,2017/2018
8.0,9,10,2019,66141774,12.0,2016/2017
23.0,25,2,2019,66141774,10.98,2017/2018
18.0,17,1,2019,66141774,8.92,2017/2018
8.0,5,8,2019,66141774,11.67,2016/2017
19.0,11,6,2019,66141774,12.0,2016/2017
6.0,6,15,2019,66141774,12.0,2016/2017
12.0,7,23,2019,66141774,14.82,2016/2017
17.0,12,2,2019,66141774,12.0,2016/2017
22.0,32,12,2019,66141774,11.85,2018/2019
10.0,27,16,2019,66141774,12.8,2017/2018
7.0,8,24,2019,66141774,15.46,2016/2017
25.0,24,12,2019,34462736,12.0,2017/2018
7.0,13,11,2019,34462736,8.09,2016/2017
27.0,28,5,2019,34462736,12.44,2017/2018
20.0,31,9,2019,34462736,9.8,2018/2019
23.0,23,9,2019,34462736,12.57,2017/2018
28.0,26,7,2019,34462736,14.11,2017/2018
23.0,21,25,2019,34462736,13.82,2017/2018
17.0,37,17,2019,34462736,16.47,2018/2019
7.0,3,21,2019,34462736,12.0,2016/2017
8.0,22,26,2019,34462736,13.27,2017/2018
13.0,38,27,2019,34462736,13.74,2018/2019
17.0,18,4,2019,34462736,10.05,2017/2018
26.0,4,22,2019,34462736,14.06,2016/2017
25.0,10,6,2019,34462736,17.0,2016/2017
6.0,33,11,2019,34462736,15.67,2018/2019
24.0,16,13,2019,34462736,12.87,2017/2018
13.0,9,10,2019,34462736,11.29,2016/2017
21.0,25,2,2019,34462736,14.97,2017/2018
23.0,17,1,2019,34462736,12.0,2017/2018
17.0,5,8,2019,34462736,12.72,2016/2017
25.0,11,6,2019,34462736,14.59,2016/2017
18.0,6,15,2019,34462736,12.0,2016/2017
16.0,7,23,2019,34462736,15.41,2016/2017
21.0,12,2,2019,34462736,14.14,2016/2017
24.0,32,12,2019,34462736,14.08,2018/2019
22.0,27,16,2019,34462736,11.06,2017/2018
14.0,8,24,2019,34462736,12.75,2016/2017
28.0,24,12,2019,87205287,14.52,2017/2018
7.0,13,11,2019,87205287,17.58,2016/2017
24.0,28,5,2019,87205287,11.87,2017/2018
26.0,31,9,2019,87205287,13.97,2018/2019
24.0,23,9,2019,87205287,9.32,2017/2018
30.0,26,7,2019,87205287,13.16,2017/2018
25.0,21,25,2019,87205287,12.65,2017/2018
15.0,37,17,2019,87205287,10.55,2018/2019
8.0,3,21,2019,87205287,10.34,2016/2017
11.0,22,26,2019,87205287,15.85,2017/2018
11.0,38,27,2019,87205287,17.11,2018/2019
17.0,18,4,2019,87205287,10.48,2017/2018
28.0,4,22,2019,87205287,12.0,2016/2017
27.0,10,6,2019,87205287,12.67,2016/2017
10.0,33,11,2019,87205287,12.0,2018/2019
21.0,16,13,2019,87205287,15.16,2017/2018
20.0,9,10,2019,87205287,17.75,2016/2017
28.0,25,2,2019,87205287,13.16,2017/2018
20.0,17,1,2019,87205287,12.0,2017/2018
18.0,5,8,2019,87205287,12.93,2016/2017
28.0,11,6,2019,87205287,13.54,2016/2017
18.0,6,15,2019,87205287,9.46,2016/2017
25.0,7,23,2019,87205287,15.41,2016/2017
26.0,12,2,2019,87205287,15.21,2016/2017
29.0,32,12,2019,87205287,12.0,2018/2019
15.0,27,16,2019,87205287,10.47,2017/2018
17.0,8,24,2019,87205287,17.09,2016/2017
31.0,24,12,2019,61461023,19.49,2017/2018
6.0,13,11,2019,61461023,18.87,2016/2017
28.0,28,5,2019,61461023,14.1,2017/2018
26.0,31,9,2019,61461023,9.06,2018/2019
21.0,23,9,2019,61461023,14.04,2017/2018
31.0,26,7,2019,61461023,16.1,2017/2018
25.0,21,25,2019,61461023,14.37,2017/2018
17.0,37,17,2019,61461023,14.18,2018/2019
13.0,3,21,2019,61461023,18.81,2016/2017
13.0,22,26,2019,61461023,17.09,2017/2018
10.0,38,27,2019,61461023,15.21,2018/2019
19.0,18,4,2019,61461023,12.0,2017/2018
29.0,4,22,2019,61461023,12.0,2016/2017
29.0,10,6,2019,61461023,12.0,2016/2017
12.0,33,11,2019,61461023,18.55,2018/2019
20.0,16,13,2019,61461023,17.03,2017/2018
22.0,9,10,2019,61461023,19.74,2016/2017
30.0,25,2,2019,61461023,12.0,2017/2018
23.0,17,1,2019,61461023,11.8,2017/2018
23.0,5,8,2019,61461023,13.47,2016/2017
28.0,11,6,2019,61461023,16.08,2016/2017
22.0,6,15,2019,61461023,12.0,2016/2017
21.0,7,23,2019,61461023,14.7,2016/2017
26.0,12,2,2019,61461023,15.7,2016/2017
28.0,32,12,2019,61461023,12.0,2018/2019
17.0,27,16,2019,61461023,14.5,2017/2018
19.0,8,24,2019,61461023,15.4,2016/2017
31.0,24,12,2019,92839140,12.84,2017/2018
20.0,13,11,2019,92839140,12.0,2016/2017
32.0,28,5,2019,92839140,17.93,2017/2018
28.0,31,9,2019,92839140,12.0,2018/2019
28.0,23,9,2019,92839140,13.14,2017/2018
32.0,26,7,2019,92839140,16.07,2017/2018
31.0,21,25,2019,92839140,14.12,2017/2018
28.0,37,17,2019,92839140,15.11,2018/2019
19.0,3,21,2019,92839140,12.42,2016/2017
21.0,22,26,2019,92839140,16.74,2017/2018
20.0,38,27,2019,92839140,16.46,2018/2019
26.0,18,4,2019,92839140,11.71,2017/2018
32.0,4,22,2019,92839140,15.64,2016/2017
31.0,10,6,2019,92839140,14.76,2016/2017
20.0,33,11,2019,92839140,12.96,2018/2019
25.0,16,13,2019,92839140,15.57,2017/2018
27.0,9,10,2019,92839140,16.73,2016/2017
32.0,25,2,2019,92839140,12.0,2017/2018
27.0,17,1,2019,92839140,12.0,2017/2018
22.0,5,8,2019,92839140,7.48,2016/2017
31.0,11,6,2019,92839140,12.86,2016/2017
26.0,6,15,2019,92839140,12.0,2016/2017
29.0,7,23,2019,92839140,12.27,2016/2017
32.0,12,2,2019,92839140,15.17,2016/2017
30.0,32,12,2019,92839140,15.64,2018/2019
24.0,27,16,2019,92839140,12.0,2017/2018
18.0,8,24,2019,92839140,16.07,2016/2017
28.0,24,12,2019,61455530,13.66,2017/2018
6.0,13,11,2019,61455530,13.12,2016/2017
25.0,28,5,2019,61455530,12.0,2017/2018
27.0,31,9,2019,61455530,12.0,2018/2019
20.0,23,9,2019,61455530,13.18,2017/2018
26.0,26,7,2019,61455530,11.64,2017/2018
22.0,21,25,2019,61455530,12.0,2017/2018
18.0,37,17,2019,61455530,18.38,2018/2019
10.0,3,21,2019,61455530,14.42,2016/2017
12.0,22,26,2019,61455530,12.93,2017/2018
7.0,38,27,2019,61455530,13.93,2018/2019
16.0,18,4,2019,61455530,13.34,2017/2018
27.0,4,22,2019,61455530,11.91,2016/2017
24.0,10,6,2019,61455530,9.39,2016/2017
6.0,33,11,2019,61455530,8.68,2018/2019
18.0,16,13,2019,61455530,14.27,2017/2018
14.0,9,10,2019,61455530,13.32,2016/2017
28.0,25,2,2019,61455530,12.0,2017/2018
14.0,17,1,2019,61455530,11.94,2017/2018
15.0,5,8,2019,61455530,10.13,2016/2017
29.0,11,6,2019,61455530,11.86,2016/2017
17.0,6,15,2019,61455530,12.0,2016/2017
24.0,7,23,2019,61455530,13.47,2016/2017
30.0,12,2,2019,61455530,14.14,2016/2017
20.0,32,12,2019,61455530,12.0,2018/2019
19.0,27,16,2019,61455530,12.0,2017/2018
9.0,8,24,2019,61455530,12.54,2016/2017
25.0,24,12,2019,17548754,13.45,2017/2018
3.0,13,11,2019,17548754,12.34,2016/2017
25.0,28,5,2019,17548754,13.5,2017/2018
25.0,31,9,2019,17548754,17.48,2018/2019
14.0,23,9,2019,17548754,10.89,2017/2018
26.0,26,7,2019,17548754,13.53,2017/2018
24.0,21,25,2019,17548754,11.71,2017/2018
24.0,37,17,2019,17548754,12.0,2018/2019
10.0,3,21,2019,17548754,11.36,2016/2017
3.0,22,26,2019,17548754,19.07,2017/2018
9.0,38,27,2019,17548754,15.89,2018/2019
15.0,18,4,2019,17548754,18.69,2017/2018
26.0,4,22,2019,17548754,12.0,2016/2017
26.0,10,6,2019,17548754,12.58,2016/2017
9.0,33,11,2019,17548754,13.77,2018/2019
18.0,16,13,2019,17548754,12.0,2017/2018
14.0,9,10,2019,17548754,12.0,2016/2017
24.0,25,2,2019,17548754,12.0,2017/2018
23.0,17,1,2019,17548754,14.15,2017/2018
16.0,5,8,2019,17548754,13.67,2016/2017
22.0,11,6,2019,17548754,15.13,2016/2017
23.0,6,15,2019,17548754,10.06,2016/2017
18.0,7,23,2019,17548754,16.92,2016/2017
18.0,12,2,2019,17548754,12.0,2016/2017
24.0,32,12,2019,17548754,11.67,2018/2019
18.0,27,16,2019,17548754,12.27,2017/2018
19.0,8,24,2019,17548754,11.02,2016/2017
27.0,24,12,2019,89802536,12.76,2017/2018
14.0,13,11,2019,89802536,15.53,2016/2017
30.0,28,5,2019,89802536,14.98,2017/2018
22.0,31,9,2019,89802536,9.95,2018/2019
26.0,23,9,2019,89802536,9.35,2017/2018
28.0,26,7,2019,89802536,9.35,2017/2018
24.0,21,25,2019,89802536,12.0,2017/2018
18.0,37,17,2019,89802536,14.71,2018/2019
10.0,3,21,2019,89802536,14.46,2016/2017
6.0,22,26,2019,89802536,20.0,2017/2018
11.0,38,27,2019,89802536,14.82,2018/2019
11.0,18,4,2019,89802536,12.28,2017/2018
28.0,4,22,2019,89802536,16.54,2016/2017
27.0,10,6,2019,89802536,14.14,2016/2017
12.0,33,11,2019,89802536,8.07,2018/2019
16.0,16,13,2019,89802536,15.22,2017/2018
13.0,9,10,2019,89802536,12.48,2016/2017
28.0,25,2,2019,89802536,12.0,2017/2018
28.0,17,1,2019,89802536,13.88,2017/2018
18.0,5,8,2019,89802536,15.88,2016/2017
23.0,11,6,2019,89802536,14.6,2016/2017
20.0,6,15,2019,89802536,10.31,2016/2017
24.0,7,23,2019,89802536,13.19,2016/2017
30.0,12,2,2019,89802536,10.92,2016/2017
26.0,32,12,2019,89802536,11.91,2018/2019
18.0,27,16,2019,89802536,8.56,2017/2018
18.0,8,24,2019,89802536,15.56,2016/2017
30.0,24,12,2019,57501364,12.0,2017/2018
19.0,13,11,2019,57501364,12.36,2016/2017
29.0,28,5,2019,57501364,17.07,2017/2018
27.0,31,9,2019,57501364,15.43,2018/2019
21.0,23,9,2019,57501364,15.19,2017/2018
29.0,26,7,2019,57501364,16.57,2017/2018
29.0,21,25,2019,57501364,12.0,2017/2018
27.0,37,17,2019,57501364,13.71,2018/2019
14.0,3,21,2019,57501364,9.17,2016/2017
15.0,22,26,2019,57501364,18.3,2017/2018
18.0,38,27,2019,57501364,13.8,2018/2019
22.0,18,4,2019,57501364,12.0,2017/2018
30.0,4,22,2019,57501364,12.83,2016/2017
30.0,10,6,2019,57501364,12.27,2016/2017
16.0,33,11,2019,57501364,14.13,2018/2019
24.0,16,13,2019,57501364,12.57,2017/2018
23.0,9,10,2019,57501364,14.51,2016/2017
28.0,25,2,2019,57501364,9.94,2017/2018
28.0,17,1,2019,57501364,14.58,2017/2018
26.0,5,8,2019,57501364,10.99,2016/2017
28.0,11,6,2019,57501364,12.0,2016/2017
24.0,6,15,2019,57501364,12.89,2016/2017
24.0,7,23,2019,57501364,14.28,2016/2017
30.0,12,2,2019,57501364,12.0,2016/2017
31.0,32,12,2019,57501364,17.96,2018/2019
21.0,27,16,2019,57501364,6.76,2017/2018
30.0,8,24,2019,57501364,12.0,2016/2017
17.0,24,12,2019,30518617,12.0,2017/2018
0.0,13,11,2019,30518617,12.0,2016/2017
19.0,28,5,2019,30518617,11.93,2017/2018
14.0,31,9,2019,30518617,11.96,2018/2019
7.0,23,9,2019,30518617,11.3,2017/2018
21.0,26,7,2019,30518617,11.47,2017/2018
16.0,21,25,2019,30518617,14.11,2017/2018
12.0,37,17,2019,30518617,12.0,2018/2019
0.0,3,21,2019,30518617,11.27,2016/2017
0.0,22,26,2019,30518617,12.82,2017/2018
0.0,38,27,2019,30518617,10.91,2018/2019
6.0,18,4,2019,30518617,10.58,2017/2018
23.0,4,22,2019,30518617,9.27,2016/2017
21.0,10,6,2019,30518617,12.0,2016/2017
0.0,33,11,2019,30518617,12.0,2018/2019
16.0,16,13,2019,30518617,15.65,2017/2018
9.0,9,10,2019,30518617,12.0,2016/2017
16.0,25,2,2019,30518617,12.0,2017/2018
19.0,17,1,2019,30518617,10.25,2017/2018
7.0,5,8,2019,30518617,12.0,2016/2017
19.0,11,6,2019,30518617,12.0,2016/2017
7.0,6,15,2019,30518617,10.71,2016/2017
15.0,7,23,2019,30518617,16.22,2016/2017
19.0,12,2,2019,30518617,16.59,2016/2017
20.0,32,12,2019,30518617,12.0,2018/2019
13.0,27,16,2019,30518617,12.0,2017/2018
6.0,8,24,2019,30518617,13.69,2016/2017
26.0,24,12,2019,90569199,16.34,2017/2018
7.0,13,11,2019,90569199,14.05,2016/2017
28.0,28,5,2019,90569199,14.15,2017/2018
24.0,31,9,2019,90569199,12.0,2018/2019
21.0,23,9,2019,90569199,18.39,2017/2018
23.0,26,7,2019,90569199,16.56,2017/2018
27.0,21,25,2019,90569199,12.67,2017/2018
24.0,37,17,2019,90569199,13.04,2018/2019
16.0,3,21,2019,90569199,15.9,2016/2017
13.0,22,26,2019,90569199,18.45,2017/2018
14.0,38,27,2019,90569199,14.15,2018/2019
15.0,18,4,2019,90569199,10.73,2017/2018
27.0,4,22,2019,90569199,12.71,2016/2017
28.0,10,6,2019,90569199,12.0,2016/2017
9.0,33,11,2019,90569199,13.41,2018/2019
17.0,16,13,2019,90569199,14.02,2017/2018
13.0,9,10,2019,90569199,15.35,2016/2017
26.0,25,2,2019,90569199,15.39,2017/2018
21.0,17,1,2019,90569199,12.0,2017/2018
20.0,5,8,2019,90569199,13.66,2016/2017
28.0,11,6,2019,90569199,13.16,2016/2017
16.0,6,15,2019,90569199,14.78,2016/2017
20.0,7,23,2019,90569199,12.0,2016/2017
23.0,12,2,2019,90569199,19.81,2016/2017
28.0,32,12,2019,90569199,12.45,2018/2019
22.0,27,16,2019,90569199,6.48,2017/2018
18.0,8,24,2019,90569199,12.46,2016/2017
32.0,24,12,2019,22135175,20.0,2017/2018
22.0,13,11,2019,22135175,18.75,2016/2017
32.0,28,5,2019,22135175,14.06,2017/2018
30.0,31,9,2019,22135175,15.44,2018/2019
24.0,23,9,2019,22135175,14.29,2017/2018
29.0,26,7,2019,22135175,12.0,2017/2018
32.0,21,25,2019,22135175,19.68,2017/2018
19.0,37,17,2019,22135175,18.05,2018/2019
18.0,3,21,2019,22135175,15.44,2016/2017
15.0,22,26,2019,22135175,16.59,2017/2018
21.0,38,27,2019,22135175,17.65,2018/2019
27.0,18,4,2019,22135175,12.3,2017/2018
29.0,4,22,2019,22135175,11.34,2016/2017
31.0,10,6,2019,22135175,16.12,2016/2017
14.0,33,11,2019,22135175,13.15,2018/2019
26.0,16,13,2019,22135175,13.89,2017/2018
25.0,9,10,2019,22135175,14.84,2016/2017
31.0,25,2,2019,22135175,12.31,2017/2018
32.0,17,1,2019,22135175,8.49,2017/2018
29.0,5,8,2019,22135175,12.0,2016/2017
32.0,11,6,2019,22135175,12.0,2016/2017
28.0,6,15,2019,22135175,12.0,2016/2017
29.0,7,23,2019,22135175,14.55,2016/2017
31.0,12,2,2019,22135175,12.62,2016/2017
30.0,32,12,2019,22135175,13.85,2018/2019
26.0,27,16,2019,22135175,8.91,2017/2018
20.0,8,24,2019,22135175,15.82,2016/2017
30.0,24,12,2019,14704189,14.06,2017/2018
17.0,13,11,2019,14704189,18.67,2016/2017
31.0,28,5,2019,14704189,15.29,2017/2018
29.0,31,9,2019,14704189,16.99,2018/2019
23.0,23,9,2019,14704189,16.07,2017/2018
32.0,26,7,2019,14704189,12.0,2017/2018
30.0,21,25,2019,14704189,12.53,2017/2018
29.0,37,17,2019,14704189,14.22,2018/2019
11.0,3,21,2019,14704189,13.14,2016/2017
17.0,22,26,2019,14704189,17.75,2017/2018
17.0,38,27,2019,14704189,16.79,2018/2019
24.0,18,4,2019,14704189,12.0,2017/2018
30.0,4,22,2019,14704189,16.9,2016/2017
29.0,10,6,2019,14704189,15.52,2016/2017
14.0,33,11,2019,14704189,15.98,2018/2019
26.0,16,13,2019,14704189,12.0,2017/2018
24.0,9,10,2019,14704189,9.36,2016/2017
31.0,25,2,2019,14704189,12.0,2017/2018
23.0,17,1,2019,14704189,12.0,2017/2018
20.0,5,8,2019,14704189,12.0,2016/2017
31.0,11,6,2019,14704189,12.0,2016/2017
21.0,6,15,2019,14704189,16.79,2016/2017
27.0,7,23,2019,14704189,18.0,2016/2017
32.0,12,2,2019,14704189,16.13,2016/2017
31.0,32,12,2019,14704189,14.33,2018/2019
26.0,27,16,2019,14704189,10.56,2017/2018
21.0,8,24,2019,14704189,13.77,2016/2017
25.0,24,12,2019,25415120,12.48,2017/2018
9.0,13,11,2019,25415120,12.79,2016/2017
29.0,28,5,2019,25415120,12.63,2017/2018
25.0,31,9,2019,25415120,12.0,2018/2019
20.0,23,9,2019,25415120,14.21,2017/2018
26.0,26,7,2019,25415120,15.81,2017/2018
27.0,21,25,2019,25415120,10.71,2017/2018
12.0,37,17,2019,25415120,10.83,2018/2019
12.0,3,21,2019,25415120,12.0,2016/2017
7.0,22,26,2019,25415120,19.34,2017/2018
8.0,38,27,2019,25415120,13.09,2018/2019
9.0,18,4,2019,25415120,13.82,2017/2018
27.0,4,22,2019,25415120,10.81,2016/2017
28.0,10,6,2019,25415120,12.0,2016/2017
13.0,33,11,2019,25415120,13.88,2018/2019
13.0,16,13,2019,25415120,17.19,2017/2018
11.0,9,10,2019,25415120,15.33,2016/2017
25.0,25,2,2019,25415120,12.6,2017/2018
27.0,17,1,2019,25415120,13.8,2017/2018
16.0,5,8,2019,25415120,15.94,2016/2017
24.0,11,6,2019,25415120,11.62,2016/2017
20.0,6,15,2019,25415120,13.84,2016/2017
25.0,7,23,2019,25415120,13.46,2016/2017
30.0,12,2,2019,25415120,16.77,2016/2017
30.0,32,12,2019,25415120,12.0,2018/2019
17.0,27,16,2019,25415120,12.97,2017/2018
13.0,8,24,2019,25415120,12.91,2016/2017
32.0,24,12,2019,29962256,11.85,2017/2018
14.0,13,11,2019,29962256,15.34,2016/2017
32.0,28,5,2019,29962256,15.43,2017/2018
30.0,31,9,2019,29962256,11.79,2018/2019
25.0,23,9,2019,29962256,11.43,2017/2018
30.0,26,7,2019,29962256,11.78,2017/2018
28.0,21,25,2019,29962256,11.66,2017/2018
26.0,37,17,2019,29962256,15.91,2018/2019
15.0,3,21,2019,29962256,13.46,2016/2017
12.0,22,26,2019,29962256,16.14,2017/2018
14.0,38,27,2019,29962256,14.82,2018/2019
19.0,18,4,2019,29962256,15.99,2017/2018
29.0,4,22,2019,29962256,12.8,2016/2017
29.0,10,6,2019,29962256,14.8,2016/2017
11.0,33,11,2019,29962256,15.74,2018/2019
23.0,16,13,2019,29962256,14.71,2017/2018
23.0,9,10,2019,29962256,17.13,2016/2017
28.0,25,2,2019,29962256,15.69,2017/2018
23.0,17,1,2019,29962256,14.02,2017/2018
27.0,5,8,2019,29962256,13.36,2016/2017
30.0,11,6,2019,29962256,9.47,2016/2017
23.0,6,15,2019,29962256,12.0,2016/2017
28.0,7,23,2019,29962256,11.61,2016/2017
28.0,12,2,2019,29962256,14.13,2016/2017
32.0,32,12,2019,29962256,14.32,2018/2019
24.0,27,16,2019,29962256,15.23,2017/2018
23.0,8,24,2019,29962256,13.62,2016/2017
18.0,24,12,2019,20612869,11.04,2017/2018
0.0,13,11,2019,20612869,13.45,2016/2017
18.0,28,5,2019,20612869,9.66,2017/2018
13.0,31,9,2019,20612869,14.11,2018/2019
15.0,23,9,2019,20612869,13.32,2017/2018
18.0,26,7,2019,20612869,12.44,2017/2018
16.0,21,25,2019,20612869,9.02,2017/2018
10.0,37,17,2019,20612869,12.0,2018/2019
0.0,3,21,2019,20612869,12.0,2016/2017
0.0,22,26,2019,20612869,10.47,2017/2018
0.0,38,27,2019,20612869,12.46,2018/2019
6.0,18,4,2019,20612869,14.1,2017/2018
23.0,4,22,2019,20612869,13.54,2016/2017
21.0,10,6,2019,20612869,12.0,2016/2017
0.0,33,11,2019,20612869,8.92,2018/2019
12.0,16,13,2019,20612869,10.72,2017/2018
9.0,9,10,2019,20612869,14.37,2016/2017
22.0,25,2,2019,20612869,12.5,2017/2018
15.0,17,1,2019,20612869,14.34,2017/2018
13.0,5,8,2019,20612869,12.0,2016/2017
24.0,11,6,2019,20612869,10.04,2016/2017
8.0,6,15,2019,20612869,13.96,2016/2017
13.0,7,23,2019,20612869,12.63,2016/2017
